Name,Department,Designation,Subject,Image
Rajdeep Chatterjee,SCSE,Associate Professor,"AI, DSA",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Rajdeep-Chatterjee-Rajdeep-Chatterjee.jpg
Amulya Ratna Swain,SCSE,Dean,"DSA, DAA",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Amulya-Ratna-Swain-amulya-swain.jpg
Rabi Shaw,SCSE,Assistant Professor,"DSA, DAA",https://cse.kiit.ac.in/wp-content/uploads/2022/07/RabiShaw.jpg
Ronali Padhy,SCSE,Assistant Professor,"DSA, AFL",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Ronali-Padhy.jpg
Suresh Chandra Satapathy,SCSE,Dean,"COA,HPC",https://cse.kiit.ac.in/wp-content/uploads/2020/06/Suresh-Chandra-Satapathy.jpg
Mukesh Kumar,SCSE,Assistant Professor,"DAA,DSA",https://cse.kiit.ac.in/wp-content/uploads/2023/04/Mukesh-Kumar.jpg
Ajay Anand,SCSE,Assistant Professor,"DAA,AI",https://cse.kiit.ac.in/wp-content/uploads/2020/06/Ajay-Anan.jpg
Ashish Singh,SCSE,Assistant Professor,"CN,SE",https://cse.kiit.ac.in/wp-content/uploads/2020/06/Ashish-Singh.jpg
Banchhanidhi Dash,SCSE,Assistant Professor,"COA,HPC",https://cse.kiit.ac.in/wp-content/uploads/2020/06/Banchhanidhi-Dash.jpg
Bindu Agarwalla,SCSE,Assistant Professor,"COA,HPC",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Bindu-Agarwal.jpg
Chandani Kumari,SCSE,Assistant Professor,"SE,DAA",https://cse.kiit.ac.in/wp-content/uploads/2020/06/Chandani-Kumari.jpg
Dayal Kumar Behera,SCSE,Assistant Professor,"CI,DSA",https://cse.kiit.ac.in/wp-content/uploads/2023/04/Dayal-Kumar-Behera.jpg
Krishnendu Hazra,SCSE,Assistant Professor,"CN,AFL",https://cse.kiit.ac.in/wp-content/uploads/2022/10/PIC-Krishnandu-Hazra.jpg
Krutika Verma ,SCSE,Assistant Professor,"DAA,BD",https://cse.kiit.ac.in/wp-content/uploads/2023/04/Krutika-Verma.jpg
Hitesh Mahapatra,SCSE,Assistant Professor,"SE,OS",https://cse.kiit.ac.in/wp-content/uploads/2022/07/hitesh.jpeg
Niranjan Ray,SCSE,Assistant Professor,"CN,AFL",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Niranjan-Ray.jpg
Mainak Bandopadhyay,SCSE,Assistant Professor,"AI,BD",https://cse.kiit.ac.in/wp-content/uploads/2020/06/Mainak-Bandyopathyay.jpg
Sourajit Behera,SCSE,Assistant Professor,"BD,AI",https://cse.kiit.ac.in/wp-content/uploads/2023/05/Sourajit-Behera.jpeg
Kunal Anand,SCSE,Assistant Professor,"SE,OS",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Kunal-Anand-Kunal-Anand-1-982x1024.jpg
Partha Pratim Sarangi,SCSE,Assistant Professor,"CI,DSA",https://cse.kiit.ac.in/wp-content/uploads/2021/01/Partha-pratim-Sarangi.jpg
Jayanti Dansana,SCSE,Assistant Professor,"CN,SE",https://cse.kiit.ac.in/wp-content/uploads/2019/01/Jayanti-Dansana.jpg
